评论,昵称
"三年前的豪言壮语，今天变成了现实，我会将一台台崭新的小米SU7 亲自交到首批车主手上。

从今天开始，小米正式成为一家车厂。

大家是不是应该叫我雷厂长了？哈哈哈哈哈。",雷军
我一直不理解28岁金山公司CEO是什么段位，直到我28岁。[流泪],可乐鸡翅
友商：烦死了，他怎么这么多花样啊,🌈十三
这张好玩[泪奔]，到底谁是老板,小阁楼
周鸿祎：你看看别人交车，你看看你们，,发誓（承蒙厚爱)
雷总真的是干一行行一行，拉个车门都像司机[泣不成声],宝宝就是宝宝
友商：烦死了，他怎么这么多花样啊,🌈十三
"20多万的车，千亿霸总为我开车门
79的眉笔，有人说我们不够努力[不你不想]",是个大懒虫吗
雷总，今年校招纠结了好久，拒了华子和耀子，拒了蔚来，接了米的。[灵机一动],buaa吴彦祖
那些年用过的小米手机[捂脸]（小米11拍）,Lychee
美女提车说出了全国人民的心声[泣不成声][泣不成声],江湖飘零ᴶᵃʸ
雷总，什么时候做共享充电宝，要快充的，这玩意现在4元一小时就算了，但是充了一小时才50%的电。,办公室《选址》
28岁，全款拿下小米su7，没让父母少拿一分钱[动动脑子],勿念
就雷总这服务态度，出去后轮子跑掉了，我都自己扛着走。,凹凸曼
雷总女性朋友问你什么时候进军卫生巾，她们要买小米卫生巾说,杨雨菲90
雷总，咱真的不考虑进军一下脱毛仪界吗[流泪]求你了，脱毛仪又贵又不靠谱，它还致癌还致癌，雷总我求你了[流泪][流泪]女大真的很需要，最后祝小米su7大卖[流泪],把🥭鲨了给发仔3助助兴
21.59千亿总裁为我开车门,ᝰℳ ɀꫝꪮꪀᧁ༺ོ̥
雷总为我开车门！大卖,快乐的小如
千亿身价的老总，给普通人开车门，换做任何一个人都做不到，雷总真牛[赞]我是比亚迪员工，现在也成为米粉了,福气绵绵
实不相瞒我花三十万跟千亿总裁合影，大老板居然还送了我一辆车[看],楼德华
"高考状元、28金山总经理、38岁银行卡里冷冰冰的40亿刀乐、小米最年轻的世界500强董事长、顺为资本老板、字节跳动2.8%的股权持有者、喊公司员工同事、喊研发部同事同学、千亿身价现场鞠躬、中关村劳模、北京现金王、1.81身高、发量惊人、体型良好，妻子是初恋、雷神、雷布斯、雷总、雷军给我们鞠躬 
79的构思眉笔骂不够努力[微笑]",风吹马尾千条线
雷布斯这弯腰的姿势足矣预测小米汽车不平凡的未来[赞],用户6289159807519
我天，他当了那么多年的总裁，身上不仅没有一点酒色财气，还有一丝腼腆的少年感是怎么回事[蜜蜂狗],倾城
雷总为了和我合影，专门送我一辆车，还专门给我开关车门，为了表示感谢，临走我还是硬塞给他30万,老宋，我想吃鱼了
小米汽车大卖[鞭炮][鞭炮][鞭炮],gn435959
